STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total_Crimes
A & N ISLANDS_A & N ISLANDS,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A & N ISLANDS_A & N ISLANDS,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A & N ISLANDS_A & N ISLANDS,2003,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
A & N ISLANDS_A & N ISLANDS,2004,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0
A & N ISLANDS_A & N ISLANDS,2005,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0
A & N ISLANDS_A & N ISLANDS,2006,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
A & N ISLANDS_A & N ISLANDS,2007,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
A & N ISLANDS_A & N ISLANDS,2008,2.0,8.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,47.0
A & N ISLANDS_A & N ISLANDS,2009,1.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,41.0
A & N ISLANDS_A & N ISLANDS,2010,1.0,15.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,51.0
ANDHRA PRADESH_ADILABAD,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_ADILABAD,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_ADILABAD,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_ADILABAD,2004,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ANDHRA PRADESH_ADILABAD,2005,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
ANDHRA PRADESH_ADILABAD,2006,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,19.0
ANDHRA PRADESH_ADILABAD,2007,4.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0
ANDHRA PRADESH_ADILABAD,2008,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
ANDHRA PRADESH_ADILABAD,2009,5.0,5.0,5.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,31.0
ANDHRA PRADESH_ADILABAD,2010,4.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0
ANDHRA PRADESH_ANANTAPUR,2001,19.0,12.0,29.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
ANDHRA PRADESH_ANANTAPUR,2002,17.0,18.0,43.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0
ANDHRA PRADESH_ANANTAPUR,2003,11.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,54.0
ANDHRA PRADESH_ANANTAPUR,2004,3.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
ANDHRA PRADESH_ANANTAPUR,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_ANANTAPUR,2006,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0
ANDHRA PRADESH_ANANTAPUR,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_ANANTAPUR,2008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
ANDHRA PRADESH_ANANTAPUR,2009,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,28.0,31.0
ANDHRA PRADESH_ANANTAPUR,2010,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ANDHRA PRADESH_CHITTOOR,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_CHITTOOR,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_CHITTOOR,2003,8.0,24.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
ANDHRA PRADESH_CHITTOOR,2004,4.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
ANDHRA PRADESH_CHITTOOR,2005,4.0,18.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
ANDHRA PRADESH_CHITTOOR,2006,3.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
ANDHRA PRADESH_CHITTOOR,2007,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
ANDHRA PRADESH_CHITTOOR,2008,4.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
ANDHRA PRADESH_CHITTOOR,2009,4.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
ANDHRA PRADESH_CHITTOOR,2010,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ANDHRA PRADESH_CUDDAPAH,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_CUDDAPAH,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_CUDDAPAH,2003,3.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
ANDHRA PRADESH_CUDDAPAH,2004,4.0,8.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
ANDHRA PRADESH_CUDDAPAH,2005,3.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0
ANDHRA PRADESH_CUDDAPAH,2006,3.0,17.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
ANDHRA PRADESH_CUDDAPAH,2007,4.0,22.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
ANDHRA PRADESH_CUDDAPAH,2008,1.0,22.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
ANDHRA PRADESH_CUDDAPAH,2009,7.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
ANDHRA PRADESH_CUDDAPAH,2010,6.0,26.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
ANDHRA PRADESH_EAST GODAVARI,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2005,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
ANDHRA PRADESH_EAST GODAVARI,2006,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
ANDHRA PRADESH_EAST GODAVARI,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2010,1.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
ANDHRA PRADESH_GUNTAKAL RLY.,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2007,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ANDHRA PRADESH_GUNTAKAL RLY.,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
