STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Total_Crimes
A & N ISLANDS_A & N ISLANDS,2001,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS_A & N ISLANDS,2002,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS_A & N ISLANDS,2003,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS_A & N ISLANDS,2004,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS_A & N ISLANDS,2005,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS_A & N ISLANDS,2006,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS_A & N ISLANDS,2007,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS_A & N ISLANDS,2008,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS_A & N ISLANDS,2009,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS_A & N ISLANDS,2010,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_ADILABAD,2001,0,1,4,0,0,0,3,0,15,32,55
ANDHRA PRADESH_ADILABAD,2002,0,2,0,0,0,0,2,0,16,18,38
ANDHRA PRADESH_ADILABAD,2003,0,1,0,0,0,0,1,12,0,12,26
ANDHRA PRADESH_ADILABAD,2004,0,4,0,0,0,0,3,14,3,25,49
ANDHRA PRADESH_ADILABAD,2005,0,5,0,0,0,0,6,26,0,37,74
ANDHRA PRADESH_ADILABAD,2006,1,4,3,0,0,0,6,37,3,21,75
ANDHRA PRADESH_ADILABAD,2007,1,2,2,0,0,0,5,17,2,12,41
ANDHRA PRADESH_ADILABAD,2008,1,3,0,0,0,0,6,14,0,46,70
ANDHRA PRADESH_ADILABAD,2009,1,5,0,0,0,0,5,15,0,52,78
ANDHRA PRADESH_ADILABAD,2010,0,6,0,0,0,3,4,10,0,10,33
ANDHRA PRADESH_ANANTAPUR,2001,0,4,0,0,0,0,49,21,0,53,127
ANDHRA PRADESH_ANANTAPUR,2002,0,3,0,0,0,1,32,25,0,51,112
ANDHRA PRADESH_ANANTAPUR,2003,1,2,0,0,1,2,59,43,2,53,163
ANDHRA PRADESH_ANANTAPUR,2004,2,4,0,0,0,4,45,101,1,40,197
ANDHRA PRADESH_ANANTAPUR,2005,2,0,0,0,0,0,26,80,0,0,108
ANDHRA PRADESH_ANANTAPUR,2006,3,1,0,0,0,1,28,81,0,47,161
ANDHRA PRADESH_ANANTAPUR,2007,0,7,0,0,0,8,30,0,17,17,79
ANDHRA PRADESH_ANANTAPUR,2008,2,3,0,0,0,0,22,28,0,17,72
ANDHRA PRADESH_ANANTAPUR,2009,0,2,0,0,0,0,38,90,0,67,197
ANDHRA PRADESH_ANANTAPUR,2010,1,1,0,0,0,1,25,69,0,48,145
ANDHRA PRADESH_CHITTOOR,2001,3,3,0,0,0,0,38,36,0,34,114
ANDHRA PRADESH_CHITTOOR,2002,1,5,0,0,0,0,22,27,1,40,96
ANDHRA PRADESH_CHITTOOR,2003,1,6,0,0,0,0,17,29,2,44,99
ANDHRA PRADESH_CHITTOOR,2004,1,2,0,0,0,0,18,18,3,45,87
ANDHRA PRADESH_CHITTOOR,2005,0,5,0,0,0,1,16,24,0,19,65
ANDHRA PRADESH_CHITTOOR,2006,2,2,0,0,0,1,31,38,0,59,133
ANDHRA PRADESH_CHITTOOR,2007,6,2,0,0,0,2,24,27,0,58,119
ANDHRA PRADESH_CHITTOOR,2008,3,2,0,0,0,0,27,23,0,61,116
ANDHRA PRADESH_CHITTOOR,2009,1,3,0,0,0,2,50,34,0,96,186
ANDHRA PRADESH_CHITTOOR,2010,3,3,0,0,0,0,57,47,0,47,157
ANDHRA PRADESH_CUDDAPAH,2001,0,3,0,0,0,0,20,52,0,25,100
ANDHRA PRADESH_CUDDAPAH,2002,0,3,1,0,0,0,20,14,2,47,87
ANDHRA PRADESH_CUDDAPAH,2003,1,1,0,0,0,0,11,14,6,35,68
ANDHRA PRADESH_CUDDAPAH,2004,0,0,1,0,0,1,18,18,0,62,100
ANDHRA PRADESH_CUDDAPAH,2005,3,1,2,0,0,0,16,16,0,46,84
