STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against STs,Total_Crimes
A & N ISLANDS_A & N ISLANDS,2001,0,0,0.0,0,0,0,0,0,0,1,1.0
A & N ISLANDS_A & N ISLANDS,2002,0,0,0.0,0,0,0,0,0,0,1,1.0
A & N ISLANDS_A & N ISLANDS,2003,0,0,0.0,0,0,0,0,0,0,0,0.0
A & N ISLANDS_A & N ISLANDS,2004,0,0,0.0,0,0,0,0,0,0,1,1.0
A & N ISLANDS_A & N ISLANDS,2005,0,1,0.0,0,0,0,0,0,0,1,2.0
A & N ISLANDS_A & N ISLANDS,2006,0,0,0.0,0,0,0,0,0,0,17,17.0
A & N ISLANDS_A & N ISLANDS,2007,0,0,0.0,0,0,0,0,0,0,1,1.0
A & N ISLANDS_A & N ISLANDS,2008,1,0,0.0,0,0,0,0,2,0,0,3.0
A & N ISLANDS_A & N ISLANDS,2009,0,0,0.0,0,0,0,0,1,0,1,2.0
A & N ISLANDS_A & N ISLANDS,2010,0,0,0.0,0,0,0,1,0,0,0,1.0
ANDHRA PRADESH_ADILABAD,2001,0,1,0.0,0,0,0,2,0,0,13,16.0
ANDHRA PRADESH_ADILABAD,2002,0,0,0.0,0,0,0,0,0,0,3,3.0
ANDHRA PRADESH_ADILABAD,2003,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_ADILABAD,2004,0,3,0.0,0,0,0,2,0,0,11,16.0
ANDHRA PRADESH_ADILABAD,2005,0,3,0.0,0,0,0,0,0,0,9,12.0
ANDHRA PRADESH_ADILABAD,2006,0,8,0.0,0,0,0,0,0,0,15,23.0
ANDHRA PRADESH_ADILABAD,2007,1,6,0.0,0,0,0,4,8,0,6,25.0
ANDHRA PRADESH_ADILABAD,2008,0,2,0.0,0,0,0,3,9,0,27,41.0
ANDHRA PRADESH_ADILABAD,2009,0,4,0.0,0,0,0,2,4,0,21,31.0
ANDHRA PRADESH_ADILABAD,2010,0,5,0.0,0,0,0,2,6,0,6,19.0
ANDHRA PRADESH_ANANTAPUR,2001,0,0,0.0,0,0,0,7,1,0,6,14.0
ANDHRA PRADESH_ANANTAPUR,2002,0,1,0.0,0,0,1,2,0,0,5,9.0
ANDHRA PRADESH_ANANTAPUR,2003,0,1,0.0,0,0,1,12,3,0,8,25.0
ANDHRA PRADESH_ANANTAPUR,2004,0,2,0.0,0,0,0,8,1,0,5,16.0
ANDHRA PRADESH_ANANTAPUR,2005,0,1,0.0,0,0,0,4,14,0,0,19.0
ANDHRA PRADESH_ANANTAPUR,2006,0,0,0.0,0,0,0,3,27,0,0,30.0
ANDHRA PRADESH_ANANTAPUR,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_ANANTAPUR,2008,0,0,0.0,0,0,0,13,0,0,0,13.0
ANDHRA PRADESH_ANANTAPUR,2009,0,3,0.0,0,0,0,13,33,0,27,76.0
ANDHRA PRADESH_ANANTAPUR,2010,0,2,0.0,0,0,0,10,38,0,29,79.0
ANDHRA PRADESH_CHITTOOR,2001,0,0,0.0,0,0,0,2,0,0,0,2.0
ANDHRA PRADESH_CHITTOOR,2002,0,0,0.0,0,0,0,0,10,0,0,10.0
ANDHRA PRADESH_CHITTOOR,2003,0,0,0.0,0,0,0,0,2,0,0,2.0
ANDHRA PRADESH_CHITTOOR,2004,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_CHITTOOR,2005,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_CHITTOOR,2006,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_CHITTOOR,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_CHITTOOR,2008,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_CHITTOOR,2009,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_CHITTOOR,2010,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_CUDDAPAH,2001,0,0,0.0,0,0,0,2,2,0,0,4.0
ANDHRA PRADESH_CUDDAPAH,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_CUDDAPAH,2003,0,0,0.0,0,0,0,0,0,0,1,1.0
ANDHRA PRADESH_CUDDAPAH,2004,0,0,0.0,0,0,0,3,1,0,0,4.0
ANDHRA PRADESH_CUDDAPAH,2005,0,0,0.0,0,0,0,1,2,0,5,8.0
ANDHRA PRADESH_CUDDAPAH,2006,0,1,0.0,0,0,1,4,8,0,7,21.0
ANDHRA PRADESH_CUDDAPAH,2007,0,3,0.0,0,0,0,5,2,0,14,24.0
ANDHRA PRADESH_CUDDAPAH,2008,0,0,0.0,0,0,0,1,1,0,2,4.0
ANDHRA PRADESH_CUDDAPAH,2009,0,0,0.0,0,0,0,3,1,0,3,7.0
ANDHRA PRADESH_CUDDAPAH,2010,1,0,0.0,0,0,0,9,3,0,3,16.0
ANDHRA PRADESH_EAST GODAVARI,2001,0,0,0.0,0,0,0,0,0,0,14,14.0
ANDHRA PRADESH_EAST GODAVARI,2002,0,0,0.0,0,0,0,0,0,0,30,30.0
ANDHRA PRADESH_EAST GODAVARI,2003,0,0,0.0,0,0,0,0,3,0,0,3.0
ANDHRA PRADESH_EAST GODAVARI,2004,0,1,0.0,0,0,0,2,0,0,0,3.0
ANDHRA PRADESH_EAST GODAVARI,2005,0,0,0.0,0,0,0,2,6,0,5,13.0
ANDHRA PRADESH_EAST GODAVARI,2006,0,1,0.0,0,0,0,7,2,0,7,17.0
ANDHRA PRADESH_EAST GODAVARI,2007,1,1,0.0,0,0,0,0,3,0,3,8.0
ANDHRA PRADESH_EAST GODAVARI,2008,0,0,0.0,0,0,0,3,2,0,4,9.0
ANDHRA PRADESH_EAST GODAVARI,2009,0,0,0.0,0,0,0,0,4,0,7,11.0
ANDHRA PRADESH_EAST GODAVARI,2010,0,0,0.0,0,0,0,3,0,0,0,3.0
ANDHRA PRADESH_GUNTAKAL RLY.,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2003,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2004,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2005,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2006,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2008,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2009,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2010,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_GUNTUR,2001,0,2,0.0,0,0,0,10,3,0,19,34.0
ANDHRA PRADESH_GUNTUR,2002,0,0,0.0,0,0,0,4,1,0,6,11.0
ANDHRA PRADESH_GUNTUR,2003,0,1,0.0,0,0,1,16,5,0,12,35.0
ANDHRA PRADESH_GUNTUR,2004,1,1,0.0,0,0,0,5,4,0,8,19.0
ANDHRA PRADESH_GUNTUR,2005,1,2,0.0,0,0,0,4,2,0,8,17.0
ANDHRA PRADESH_GUNTUR,2006,0,0,0.0,0,0,0,3,6,0,18,27.0
ANDHRA PRADESH_GUNTUR,2007,1,0,0.0,0,0,0,4,6,0,27,38.0
ANDHRA PRADESH_GUNTUR,2008,0,1,0.0,0,0,1,5,6,0,26,39.0
ANDHRA PRADESH_GUNTUR,2009,1,6,0.0,0,0,0,3,9,0,17,36.0
ANDHRA PRADESH_GUNTUR,2010,1,2,0.0,0,0,0,4,6,0,24,37.0
ANDHRA PRADESH_HYDERABAD CITY,2001,0,0,0.0,0,0,0,0,0,0,2,2.0
ANDHRA PRADESH_HYDERABAD CITY,2002,0,0,0.0,0,0,0,0,4,0,4,8.0
ANDHRA PRADESH_HYDERABAD CITY,2003,0,2,0.0,0,0,0,0,3,0,1,6.0
ANDHRA PRADESH_HYDERABAD CITY,2004,0,2,0.0,0,0,0,0,2,0,0,4.0
ANDHRA PRADESH_HYDERABAD CITY,2005,0,5,0.0,0,0,0,0,3,0,0,8.0
ANDHRA PRADESH_HYDERABAD CITY,2006,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_HYDERABAD CITY,2007,0,0,0.0,0,0,0,0,0,0,7,7.0
ANDHRA PRADESH_HYDERABAD CITY,2008,0,0,0.0,0,0,0,0,7,0,6,13.0
ANDHRA PRADESH_HYDERABAD CITY,2009,0,0,0.0,0,0,0,0,6,0,3,9.0
ANDHRA PRADESH_HYDERABAD CITY,2010,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_KARIMNAGAR,2001,0,0,0.0,0,0,0,15,0,0,2,17.0
ANDHRA PRADESH_KARIMNAGAR,2002,1,3,0.0,0,0,0,34,0,0,48,86.0
ANDHRA PRADESH_KARIMNAGAR,2003,4,0,0.0,0,1,0,51,6,0,55,117.0
ANDHRA PRADESH_KARIMNAGAR,2004,0,1,0.0,0,0,0,8,18,0,6,33.0
ANDHRA PRADESH_KARIMNAGAR,2005,0,5,0.0,0,0,0,2,12,0,21,40.0
ANDHRA PRADESH_KARIMNAGAR,2006,1,1,0.0,0,0,0,2,15,0,4,23.0
ANDHRA PRADESH_KARIMNAGAR,2007,1,3,0.0,0,0,0,0,21,0,21,46.0
ANDHRA PRADESH_KARIMNAGAR,2008,1,2,0.0,0,0,0,0,9,0,7,19.0
ANDHRA PRADESH_KARIMNAGAR,2009,1,0,0.0,0,0,0,0,7,0,10,18.0
ANDHRA PRADESH_KARIMNAGAR,2010,0,3,0.0,0,0,0,2,12,0,26,43.0
ANDHRA PRADESH_KHAMMAM,2001,1,4,0.0,0,0,0,8,9,0,20,42.0
ANDHRA PRADESH_KHAMMAM,2002,0,8,0.0,0,0,0,4,14,1,16,43.0
ANDHRA PRADESH_KHAMMAM,2003,0,6,0.0,0,0,0,6,9,0,18,39.0
ANDHRA PRADESH_KHAMMAM,2004,3,2,0.0,0,0,1,6,12,0,22,46.0
ANDHRA PRADESH_KHAMMAM,2005,0,3,0.0,0,0,0,5,11,0,13,32.0
ANDHRA PRADESH_KHAMMAM,2006,0,7,0.0,0,0,0,4,14,0,21,46.0
ANDHRA PRADESH_KHAMMAM,2007,0,7,0.0,0,0,0,6,9,0,33,55.0
ANDHRA PRADESH_KHAMMAM,2008,0,5,0.0,0,0,0,5,16,0,46,72.0
ANDHRA PRADESH_KHAMMAM,2009,0,8,0.0,0,0,0,8,13,0,39,68.0
ANDHRA PRADESH_KHAMMAM,2010,0,6,0.0,0,0,0,4,8,0,23,41.0
ANDHRA PRADESH_KRISHNA,2001,0,0,0.0,0,0,0,6,24,0,18,48.0
ANDHRA PRADESH_KRISHNA,2002,0,1,0.0,0,0,0,2,4,8,8,23.0
ANDHRA PRADESH_KRISHNA,2003,1,0,0.0,0,0,0,5,17,1,8,32.0
ANDHRA PRADESH_KRISHNA,2004,0,2,0.0,0,0,0,3,10,0,10,25.0
ANDHRA PRADESH_KRISHNA,2005,0,1,0.0,0,1,1,1,2,0,9,15.0
ANDHRA PRADESH_KRISHNA,2006,0,0,0.0,0,0,0,7,2,5,11,25.0
ANDHRA PRADESH_KRISHNA,2007,0,0,0.0,0,0,0,1,3,2,5,11.0
ANDHRA PRADESH_KRISHNA,2008,0,0,0.0,0,0,0,2,1,1,2,6.0
ANDHRA PRADESH_KRISHNA,2009,0,1,0.0,0,0,0,2,1,2,3,9.0
ANDHRA PRADESH_KRISHNA,2010,2,1,0.0,0,0,0,2,0,4,7,16.0
ANDHRA PRADESH_KURNOOL,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_KURNOOL,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_KURNOOL,2003,0,1,0.0,0,0,0,1,4,0,6,12.0
ANDHRA PRADESH_KURNOOL,2004,0,2,0.0,0,0,0,2,2,0,7,13.0
ANDHRA PRADESH_KURNOOL,2005,0,3,0.0,0,0,0,6,4,0,3,16.0
ANDHRA PRADESH_KURNOOL,2006,0,1,0.0,0,0,0,7,13,0,21,42.0
ANDHRA PRADESH_KURNOOL,2007,0,1,0.0,0,0,0,3,8,0,15,27.0
ANDHRA PRADESH_KURNOOL,2008,0,0,0.0,0,0,0,7,12,0,1,20.0
ANDHRA PRADESH_KURNOOL,2009,0,0,0.0,0,0,0,10,5,0,9,24.0
ANDHRA PRADESH_KURNOOL,2010,0,1,0.0,0,0,0,7,3,0,105,116.0
ANDHRA PRADESH_MAHABOOBNAGAR,2001,1,1,0.0,0,0,0,6,11,0,0,19.0
