STATE_DISTRICT,Year,Total_Crimes,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
A & N ISLANDS_A & N ISLANDS,2001,34.0,3,2,0,19,1,9,0
A & N ISLANDS_A & N ISLANDS,2002,27.0,2,1,0,17,3,4,0
A & N ISLANDS_A & N ISLANDS,2003,22.0,2,2,0,9,2,7,0
A & N ISLANDS_A & N ISLANDS,2004,27.0,10,3,0,6,3,5,0
A & N ISLANDS_A & N ISLANDS,2005,22.0,4,1,0,11,1,5,0
A & N ISLANDS_A & N ISLANDS,2006,36.0,6,5,0,14,4,7,0
A & N ISLANDS_A & N ISLANDS,2007,54.0,3,9,1,21,2,18,0
A & N ISLANDS_A & N ISLANDS,2008,80.0,12,13,2,24,3,26,0
A & N ISLANDS_A & N ISLANDS,2009,91.0,18,14,1,30,7,21,0
A & N ISLANDS_A & N ISLANDS,2010,82.0,24,8,0,31,10,9,0
ANDHRA PRADESH_ADILABAD,2001,454.0,50,30,16,149,34,175,0
ANDHRA PRADESH_ADILABAD,2002,566.0,37,32,20,174,63,240,0
ANDHRA PRADESH_ADILABAD,2003,480.0,35,16,11,141,39,238,0
ANDHRA PRADESH_ADILABAD,2004,608.0,50,42,14,135,71,296,0
ANDHRA PRADESH_ADILABAD,2005,621.0,53,46,21,144,77,280,0
ANDHRA PRADESH_ADILABAD,2006,872.0,64,71,22,185,107,423,0
ANDHRA PRADESH_ADILABAD,2007,763.0,46,72,21,156,133,335,0
ANDHRA PRADESH_ADILABAD,2008,713.0,50,26,5,174,103,355,0
ANDHRA PRADESH_ADILABAD,2009,919.0,67,56,13,192,163,428,0
ANDHRA PRADESH_ADILABAD,2010,831.0,48,48,18,133,155,429,0
ANDHRA PRADESH_ANANTAPUR,2001,356.0,23,30,7,118,24,154,0
ANDHRA PRADESH_ANANTAPUR,2002,453.0,28,49,9,179,37,151,0
ANDHRA PRADESH_ANANTAPUR,2003,483.0,19,45,4,224,45,146,0
ANDHRA PRADESH_ANANTAPUR,2004,455.0,20,31,11,196,50,147,0
ANDHRA PRADESH_ANANTAPUR,2005,425.0,16,30,12,173,57,137,0
ANDHRA PRADESH_ANANTAPUR,2006,451.0,16,32,16,187,11,189,0
ANDHRA PRADESH_ANANTAPUR,2007,450.0,31,35,14,176,194,0,0
ANDHRA PRADESH_ANANTAPUR,2008,350.0,37,36,12,133,132,0,0
ANDHRA PRADESH_ANANTAPUR,2009,409.0,22,60,14,157,13,143,0
ANDHRA PRADESH_ANANTAPUR,2010,517.0,20,60,20,132,35,250,0
ANDHRA PRADESH_CHITTOOR,2001,456.0,27,34,14,112,83,186,0
ANDHRA PRADESH_CHITTOOR,2002,437.0,28,39,16,126,40,188,0
ANDHRA PRADESH_CHITTOOR,2003,447.0,36,34,23,121,173,60,0
ANDHRA PRADESH_CHITTOOR,2004,624.0,28,27,22,116,197,234,0
ANDHRA PRADESH_CHITTOOR,2005,618.0,35,58,9,91,223,202,0
ANDHRA PRADESH_CHITTOOR,2006,648.0,31,37,18,123,190,249,0
ANDHRA PRADESH_CHITTOOR,2007,813.0,31,47,25,118,197,395,0
ANDHRA PRADESH_CHITTOOR,2008,755.0,30,57,26,104,250,288,0
ANDHRA PRADESH_CHITTOOR,2009,819.0,33,46,19,120,268,333,0
ANDHRA PRADESH_CHITTOOR,2010,777.0,44,56,32,136,121,388,0
ANDHRA PRADESH_CUDDAPAH,2001,278.0,20,20,17,126,38,57,0
ANDHRA PRADESH_CUDDAPAH,2002,258.0,16,22,21,100,36,63,0
ANDHRA PRADESH_CUDDAPAH,2003,238.0,10,28,5,104,31,60,0
ANDHRA PRADESH_CUDDAPAH,2004,339.0,14,31,7,118,49,120,0
ANDHRA PRADESH_CUDDAPAH,2005,288.0,21,31,7,116,18,95,0
ANDHRA PRADESH_CUDDAPAH,2006,499.0,25,51,10,130,84,199,0
ANDHRA PRADESH_CUDDAPAH,2007,583.0,32,68,8,139,94,242,0
ANDHRA PRADESH_CUDDAPAH,2008,618.0,27,64,11,212,37,267,0
ANDHRA PRADESH_CUDDAPAH,2009,432.0,27,47,17,165,52,124,0
ANDHRA PRADESH_CUDDAPAH,2010,608.0,39,51,15,137,45,321,0
ANDHRA PRADESH_EAST GODAVARI,2001,475.0,23,26,12,109,58,247,0
ANDHRA PRADESH_EAST GODAVARI,2002,498.0,25,5,11,108,73,276,0
ANDHRA PRADESH_EAST GODAVARI,2003,681.0,18,35,11,150,110,357,0
ANDHRA PRADESH_EAST GODAVARI,2004,577.0,31,23,13,112,105,293,0
ANDHRA PRADESH_EAST GODAVARI,2005,634.0,27,3,15,102,119,368,0
ANDHRA PRADESH_EAST GODAVARI,2006,839.0,41,28,25,173,107,465,0
ANDHRA PRADESH_EAST GODAVARI,2007,964.0,30,64,19,159,131,561,0
ANDHRA PRADESH_EAST GODAVARI,2008,972.0,48,13,23,194,131,563,0
ANDHRA PRADESH_EAST GODAVARI,2009,944.0,47,60,23,196,178,440,0
ANDHRA PRADESH_EAST GODAVARI,2010,743.0,66,30,20,193,188,246,0
ANDHRA PRADESH_GUNTAKAL RLY.,2001,1.0,0,0,0,1,0,0,0
ANDHRA PRADESH_GUNTAKAL RLY.,2002,4.0,1,0,0,3,0,0,0
ANDHRA PRADESH_GUNTAKAL RLY.,2003,4.0,1,1,0,2,0,0,0
ANDHRA PRADESH_GUNTAKAL RLY.,2004,1.0,0,0,0,1,0,0,0
ANDHRA PRADESH_GUNTAKAL RLY.,2005,6.0,0,1,4,1,0,0,0
ANDHRA PRADESH_GUNTAKAL RLY.,2006,7.0,0,1,0,2,1,3,0
ANDHRA PRADESH_GUNTAKAL RLY.,2007,8.0,0,1,0,0,4,3,0
ANDHRA PRADESH_GUNTAKAL RLY.,2008,6.0,0,0,0,3,1,2,0
ANDHRA PRADESH_GUNTAKAL RLY.,2009,4.0,0,0,0,3,1,0,0
ANDHRA PRADESH_GUNTAKAL RLY.,2010,6.0,0,2,0,2,2,0,0
ANDHRA PRADESH_GUNTUR,2001,758.0,54,51,7,139,129,378,0
ANDHRA PRADESH_GUNTUR,2002,835.0,46,71,13,186,85,434,0
ANDHRA PRADESH_GUNTUR,2003,871.0,46,77,22,228,99,399,0
ANDHRA PRADESH_GUNTUR,2004,825.0,46,60,32,186,104,397,0
ANDHRA PRADESH_GUNTUR,2005,862.0,55,56,16,166,203,366,0
ANDHRA PRADESH_GUNTUR,2006,1041.0,47,35,15,281,236,427,0
ANDHRA PRADESH_GUNTUR,2007,1225.0,43,79,28,292,214,569,0
ANDHRA PRADESH_GUNTUR,2008,1040.0,48,65,26,306,99,496,0
ANDHRA PRADESH_GUNTUR,2009,1639.0,40,62,26,340,451,720,0
ANDHRA PRADESH_GUNTUR,2010,1621.0,50,44,33,330,463,701,0
ANDHRA PRADESH_HYDERABAD CITY,2001,991.0,37,39,24,118,27,746,0
ANDHRA PRADESH_HYDERABAD CITY,2002,993.0,57,61,24,138,123,590,0
ANDHRA PRADESH_HYDERABAD CITY,2003,1706.0,57,64,42,165,296,1082,0
ANDHRA PRADESH_HYDERABAD CITY,2004,1641.0,56,62,29,144,206,1142,2
ANDHRA PRADESH_HYDERABAD CITY,2005,1940.0,67,70,27,119,348,1309,0
ANDHRA PRADESH_HYDERABAD CITY,2006,1656.0,93,77,29,189,108,1160,0
ANDHRA PRADESH_HYDERABAD CITY,2007,1882.0,58,74,41,216,128,1365,0
ANDHRA PRADESH_HYDERABAD CITY,2008,1743.0,62,77,41,231,148,1184,0
ANDHRA PRADESH_HYDERABAD CITY,2009,1859.0,47,55,36,295,63,1363,0
ANDHRA PRADESH_HYDERABAD CITY,2010,1781.0,45,41,44,171,60,1420,0
ANDHRA PRADESH_KARIMNAGAR,2001,886.0,56,49,62,414,81,224,0
ANDHRA PRADESH_KARIMNAGAR,2002,877.0,99,42,45,357,125,209,0
ANDHRA PRADESH_KARIMNAGAR,2003,1305.0,88,67,53,362,132,602,1
ANDHRA PRADESH_KARIMNAGAR,2004,1486.0,85,98,61,370,155,717,0
ANDHRA PRADESH_KARIMNAGAR,2005,1537.0,84,91,52,328,143,839,0
ANDHRA PRADESH_KARIMNAGAR,2006,1503.0,73,119,47,371,195,698,0
ANDHRA PRADESH_KARIMNAGAR,2007,1549.0,73,135,61,315,278,687,0
ANDHRA PRADESH_KARIMNAGAR,2008,1459.0,84,148,48,310,273,596,0
ANDHRA PRADESH_KARIMNAGAR,2009,1355.0,48,106,40,292,234,635,0
ANDHRA PRADESH_KARIMNAGAR,2010,1346.0,65,128,39,237,241,636,0
ANDHRA PRADESH_KHAMMAM,2001,782.0,47,30,17,180,336,172,0
ANDHRA PRADESH_KHAMMAM,2002,1006.0,48,55,13,191,375,324,0
ANDHRA PRADESH_KHAMMAM,2003,685.0,45,35,17,162,246,180,0
ANDHRA PRADESH_KHAMMAM,2004,993.0,43,46,18,176,310,400,0
ANDHRA PRADESH_KHAMMAM,2005,778.0,21,40,14,150,240,313,0
ANDHRA PRADESH_KHAMMAM,2006,746.0,44,58,17,171,129,327,0
ANDHRA PRADESH_KHAMMAM,2007,1052.0,81,73,28,176,272,422,0
ANDHRA PRADESH_KHAMMAM,2008,745.0,70,83,26,213,24,329,0
ANDHRA PRADESH_KHAMMAM,2009,1088.0,98,96,18,205,152,519,0
ANDHRA PRADESH_KHAMMAM,2010,775.0,62,66,17,147,129,354,0
ANDHRA PRADESH_KRISHNA,2001,613.0,37,21,10,208,72,265,0
ANDHRA PRADESH_KRISHNA,2002,771.0,41,21,14,211,110,374,0
ANDHRA PRADESH_KRISHNA,2003,691.0,45,16,20,186,107,317,0
ANDHRA PRADESH_KRISHNA,2004,711.0,33,13,13,182,108,362,0
ANDHRA PRADESH_KRISHNA,2005,714.0,27,26,11,209,104,337,0
ANDHRA PRADESH_KRISHNA,2006,621.0,36,38,9,168,74,296,0
ANDHRA PRADESH_KRISHNA,2007,746.0,27,47,13,161,150,348,0
ANDHRA PRADESH_KRISHNA,2008,828.0,38,52,12,254,93,379,0
ANDHRA PRADESH_KRISHNA,2009,921.0,43,35,14,297,130,402,0
ANDHRA PRADESH_KRISHNA,2010,1004.0,54,67,22,300,149,412,0
ANDHRA PRADESH_KURNOOL,2001,429.0,29,47,13,141,107,92,0
ANDHRA PRADESH_KURNOOL,2002,528.0,45,24,11,166,115,167,0
ANDHRA PRADESH_KURNOOL,2003,619.0,28,16,11,231,131,202,0
ANDHRA PRADESH_KURNOOL,2004,696.0,29,32,6,242,157,230,0
ANDHRA PRADESH_KURNOOL,2005,646.0,29,30,9,221,124,233,0
ANDHRA PRADESH_KURNOOL,2006,769.0,35,70,9,341,157,157,0
ANDHRA PRADESH_KURNOOL,2007,1017.0,36,64,7,327,219,364,0
ANDHRA PRADESH_KURNOOL,2008,1014.0,47,72,17,419,232,227,0
ANDHRA PRADESH_KURNOOL,2009,1123.0,31,73,17,398,365,239,0
ANDHRA PRADESH_KURNOOL,2010,1251.0,49,67,19,347,268,501,0
ANDHRA PRADESH_MAHABOOBNAGAR,2001,386.0,59,27,14,176,41,69,0
ANDHRA PRADESH_MAHABOOBNAGAR,2002,621.0,85,36,31,202,42,225,0
ANDHRA PRADESH_MAHABOOBNAGAR,2003,574.0,69,33,19,179,36,238,0
ANDHRA PRADESH_MAHABOOBNAGAR,2004,554.0,56,52,21,164,10,251,0
ANDHRA PRADESH_MAHABOOBNAGAR,2005,510.0,62,47,17,140,7,237,0
ANDHRA PRADESH_MAHABOOBNAGAR,2006,659.0,67,62,33,201,9,287,0
ANDHRA PRADESH_MAHABOOBNAGAR,2007,560.0,87,75,27,132,21,218,0
ANDHRA PRADESH_MAHABOOBNAGAR,2008,625.0,72,87,35,162,38,231,0
ANDHRA PRADESH_MAHABOOBNAGAR,2009,788.0,74,101,24,215,75,299,0
ANDHRA PRADESH_MAHABOOBNAGAR,2010,686.0,89,78,34,174,78,233,0
ANDHRA PRADESH_MEDAK,2001,398.0,35,20,26,100,25,192,0
ANDHRA PRADESH_MEDAK,2002,513.0,68,38,25,103,28,251,0
ANDHRA PRADESH_MEDAK,2003,450.0,30,37,44,128,37,174,0
ANDHRA PRADESH_MEDAK,2004,494.0,52,32,41,86,54,229,0
ANDHRA PRADESH_MEDAK,2005,423.0,36,27,28,88,35,209,0
ANDHRA PRADESH_MEDAK,2006,571.0,57,39,33,107,59,276,0
ANDHRA PRADESH_MEDAK,2007,713.0,51,56,49,115,96,346,0
ANDHRA PRADESH_MEDAK,2008,636.0,50,44,35,114,61,332,0
ANDHRA PRADESH_MEDAK,2009,668.0,46,51,27,118,58,368,0
ANDHRA PRADESH_MEDAK,2010,660.0,49,68,29,103,95,316,0
ANDHRA PRADESH_NALGONDA,2001,546.0,35,19,31,188,59,214,0
ANDHRA PRADESH_NALGONDA,2002,624.0,41,37,37,232,67,210,0
ANDHRA PRADESH_NALGONDA,2003,751.0,62,37,33,249,51,319,0
ANDHRA PRADESH_NALGONDA,2004,675.0,46,57,34,200,66,272,0
ANDHRA PRADESH_NALGONDA,2005,772.0,49,31,30,223,95,344,0
ANDHRA PRADESH_NALGONDA,2006,939.0,61,71,40,246,126,395,0
ANDHRA PRADESH_NALGONDA,2007,954.0,69,75,36,233,112,429,0
ANDHRA PRADESH_NALGONDA,2008,949.0,90,76,32,243,155,353,0
ANDHRA PRADESH_NALGONDA,2009,1016.0,77,75,41,254,205,364,0
ANDHRA PRADESH_NALGONDA,2010,786.0,68,81,32,195,192,218,0
ANDHRA PRADESH_NELLORE,2001,858.0,46,80,10,207,228,287,0
ANDHRA PRADESH_NELLORE,2002,831.0,46,54,10,206,226,289,0
ANDHRA PRADESH_NELLORE,2003,627.0,27,58,10,204,97,231,0
ANDHRA PRADESH_NELLORE,2004,576.0,107,55,11,173,88,142,0
ANDHRA PRADESH_NELLORE,2005,564.0,33,65,11,205,84,166,0
ANDHRA PRADESH_NELLORE,2006,717.0,35,49,10,192,137,294,0
ANDHRA PRADESH_NELLORE,2007,780.0,44,65,14,203,123,331,0
ANDHRA PRADESH_NELLORE,2008,765.0,39,73,6,184,130,333,0
ANDHRA PRADESH_NELLORE,2009,803.0,32,48,3,287,128,305,0
ANDHRA PRADESH_NELLORE,2010,785.0,28,74,6,176,119,382,0
ANDHRA PRADESH_NIZAMABAD,2001,359.0,21,21,19,55,15,228,0
ANDHRA PRADESH_NIZAMABAD,2002,446.0,35,21,17,71,24,278,0
ANDHRA PRADESH_NIZAMABAD,2003,472.0,29,7,11,61,32,329,3
ANDHRA PRADESH_NIZAMABAD,2004,519.0,24,19,17,74,46,339,0
ANDHRA PRADESH_NIZAMABAD,2005,613.0,26,32,16,88,41,410,0
ANDHRA PRADESH_NIZAMABAD,2006,710.0,36,46,18,115,64,431,0
ANDHRA PRADESH_NIZAMABAD,2007,698.0,23,48,25,88,59,455,0
ANDHRA PRADESH_NIZAMABAD,2008,532.0,31,25,16,70,85,305,0
